Removed Pin From Net: NetName=NetC?_1 Pin=C?-1
Removed Member From Class: ClassName=Sheet2 Member=B?
Change component parameters: Designator = "D?" ("D?"); Footprint = "LED_LDQ-M3604RI"; UniqueID = "\ZJQBUUYJ" ("\ZJQBUUYJ")
Added Pin To Net: NetName=PA6 Pin=U-22
Added Net: Name=PA6
Added Pin To Net: NetName=PA7 Pin=U-23
Added Net: Name=PA7
Added Pin To Net: NetName=PA11 Pin=U-44
Added Net: Name=PA11
Added Pin To Net: NetName=PA12 Pin=U-45
Added Net: Name=PA12
Added Pin To Net: NetName=PA13 Pin=J?-2
Added Pin To Net: NetName=PA13 Pin=U-46
Added Net: Name=PA13
Added Pin To Net: NetName=PA14 Pin=J?-3
Added Pin To Net: NetName=PA14 Pin=U-49
Added Net: Name=PA14
Added Pin To Net: NetName=PA15 Pin=U-50
Added Net: Name=PA15
Added Pin To Net: NetName=PB0 Pin=U-26
Added Net: Name=PB0
Added Pin To Net: NetName=PB1 Pin=U-27
Added Net: Name=PB1
Added Pin To Net: NetName=PB2 Pin=U-28
Added Net: Name=PB2
Added Pin To Net: NetName=PB5 Pin=U-57
Added Net: Name=PB5
Added Pin To Net: NetName=PB6 Pin=U-58
Added Net: Name=PB6
Added Pin To Net: NetName=PB7 Pin=U-59
Added Net: Name=PB7
Added Pin To Net: NetName=PB8 Pin=U-61
Added Net: Name=PB8
Added Pin To Net: NetName=PB9 Pin=U-62
Added Net: Name=PB9
Added Pin To Net: NetName=PB12 Pin=U-33
Added Net: Name=PB12
Added Pin To Net: NetName=PB13 Pin=U-34
Added Net: Name=PB13
Added Pin To Net: NetName=PB14 Pin=U-35
Added Net: Name=PB14
Added Pin To Net: NetName=PB15 Pin=U-36
Added Net: Name=PB15
Added Pin To Net: NetName=PC0 Pin=U-8
Added Net: Name=PC0
Added Pin To Net: NetName=PC1 Pin=U-9
Added Net: Name=PC1
Added Pin To Net: NetName=PC2 Pin=U-10
Added Net: Name=PC2
Added Pin To Net: NetName=PC3 Pin=U-11
Added Net: Name=PC3
Added Pin To Net: NetName=PC4 Pin=U-24
Added Net: Name=PC4
Added Pin To Net: NetName=PC5 Pin=U-25
Added Net: Name=PC5
Added Pin To Net: NetName=PC6 Pin=U-37
Added Net: Name=PC6
Added Pin To Net: NetName=PC7 Pin=U-38
Added Net: Name=PC7
Added Pin To Net: NetName=PC8 Pin=U-39
Added Net: Name=PC8
Added Pin To Net: NetName=PC9 Pin=U-40
Added Net: Name=PC9
Added Pin To Net: NetName=PC10 Pin=U-51
Added Net: Name=PC10
Added Pin To Net: NetName=PC11 Pin=U-52
Added Net: Name=PC11
Added Pin To Net: NetName=PC12 Pin=U-53
Added Net: Name=PC12
Added Pin To Net: NetName=PC13 Pin=U-2
Added Net: Name=PC13
Added Pin To Net: NetName=PD2 Pin=U-54
Added Net: Name=PD2
Added Pin To Net: NetName=PH0 Pin=C?-2
Added Pin To Net: NetName=PH0 Pin=U-5
Added Pin To Net: NetName=PH0 Pin=Y?-1
Added Net: Name=PH0
Added Pin To Net: NetName=PH1 Pin=C?-2
Added Pin To Net: NetName=PH1 Pin=U-6
Added Pin To Net: NetName=PH1 Pin=Y?-3
Added Net: Name=PH1
Added Pin To Net: NetName=SEG1_D1 Pin=D?-11
Added Pin To Net: NetName=SEG1_D1 Pin=U?-2
Added Net: Name=SEG1_D1
Added Pin To Net: NetName=SEG1_D2 Pin=U?-2
Added Net: Name=SEG1_D2
Added Pin To Net: NetName=SEG2_D1 Pin=D?-7
Added Pin To Net: NetName=SEG2_D1 Pin=U?-3
Added Net: Name=SEG2_D1
Added Pin To Net: NetName=SEG2_D2 Pin=D?-12
Added Pin To Net: NetName=SEG2_D2 Pin=U?-3
Added Net: Name=SEG2_D2
Added Pin To Net: NetName=SEG3_D1 Pin=D?-4
Added Pin To Net: NetName=SEG3_D1 Pin=U?-4
Added Net: Name=SEG3_D1
Added Pin To Net: NetName=SEG3_D2 Pin=D?-6
Added Pin To Net: NetName=SEG3_D2 Pin=U?-4
Added Net: Name=SEG3_D2
Added Pin To Net: NetName=SEG4_D1 Pin=D?-2
Added Net: Name=SEG4_D1
Added Pin To Net: NetName=SEG4_D2 Pin=D?-5
Added Pin To Net: NetName=SEG4_D2 Pin=U?-5
Added Net: Name=SEG4_D2
Added Pin To Net: NetName=SEG5_D1 Pin=D?-1
Added Net: Name=SEG5_D1
Added Pin To Net: NetName=SEG5_D2 Pin=D?-4
Added Pin To Net: NetName=SEG5_D2 Pin=U?-6
Added Net: Name=SEG5_D2
Added Pin To Net: NetName=SEG6_D1 Pin=D?-10
Added Net: Name=SEG6_D1
Added Pin To Net: NetName=SEG6_D2 Pin=U?-7
Added Net: Name=SEG6_D2
Added Pin To Net: NetName=SEG7_D1 Pin=D?-5
Added Net: Name=SEG7_D1
Added Pin To Net: NetName=SEG7_D2 Pin=D?-11
Added Pin To Net: NetName=SEG7_D2 Pin=U?-8
Added Net: Name=SEG7_D2
Added Pin To Net: NetName=SEG8_D1 Pin=D?-3
Added Net: Name=SEG8_D1
Added Pin To Net: NetName=SEG8_D2 Pin=D?-7
Added Pin To Net: NetName=SEG8_D2 Pin=U?-9
Added Net: Name=SEG8_D2
Added Pin To Net: NetName=VBAT Pin=U-1
Added Net: Name=VBAT
Added Pin To Net: NetName=VDDA/VREF+ Pin=U-13
Added Net: Name=VDDA/VREF+
Added Pin To Net: NetName=VVSA/VREF- Pin=U-12
Added Net: Name=VVSA/VREF-
Change Class Name : Old Net Name=Sheet2 New Net Name=Power-MCU
Added Class: Name=Display-RTC
Added Member To Class: ClassName=Power-MCU Member=Component C? 12 pF
Added Member To Class: ClassName=Power-MCU Member=Component C? 10 µF
Added Member To Class: ClassName=Power-MCU Member=Component C? 33 pF
Added Member To Class: ClassName=Power-MCU Member=Component C? 12 pF
Added Member To Class: ClassName=Power-MCU Member=Component C? 33 pF
Added Member To Class: ClassName=Power-MCU Member=Component C? 33 pF
Added Member To Class: ClassName=Power-MCU Member=Component C? 33 pF
Added Member To Class: ClassName=Power-MCU Member=Component C? 33 pF
Added Member To Class: ClassName=Power-MCU Member=Component C? 33 pF
Added Member To Class: ClassName=Power-MCU Member=Component C? 10 µF
Added Member To Class: ClassName=Power-MCU Member=Component D? Red
Added Member To Class: ClassName=Power-MCU Member=Component J? OQ0232510000G
Added Member To Class: ClassName=Power-MCU Member=Component R? 10k Ohms
Added Member To Class: ClassName=Power-MCU Member=Component R? 4k7
Added Member To Class: ClassName=Power-MCU Member=Component R? 4k7
Added Member To Class: ClassName=Power-MCU Member=Component R? NC
Added Member To Class: ClassName=Power-MCU Member=Component R? 0 Ohms
Added Member To Class: ClassName=Power-MCU Member=Component S? FSM8JH
Added Member To Class: ClassName=Power-MCU Member=Component S? FSM8JH
Added Member To Class: ClassName=Power-MCU Member=Component Y? ABM3B-8.000MHZ-D2Y-T
Added Rule: Name=Schematic Supply Nets_1
Added Rule: Name=Schematic Supply Nets_2
